geoid,dist_roadbed_pickup_feet,count,avg_pickup_dist_feet,building_block_int_dis_tbl_bulkdens
360050216021000,0.0,1,0.0,3.4103550000000005
360050216023000,5.32456909434966,1,5.32456909434966,7.743107000000001
360050216025002,0.0,1,0.0,5.428513
360050216025004,0.0,1,0.0,0.0
360050217001000,11.3288151269489,4,2.832203781737225,5.586428
360050217001001,0.0,1,0.0,4.357524
360050217001003,3.58386540742962,2,1.79193270371481,2.413225
360050217002000,11.214160492001689,2,5.607080246000844,6.7417050000000005
360050217003000,108.98066027748837,4,27.245165069372092,4.566128
360050217003001,145.94284196823298,2,72.97142098411649,7.468744999999999
360050217003003,82.8032580182276,2,41.4016290091138,6.406592
360050217004000,0.0,1,0.0,4.905818
360050218003001,0.0,2,0.0,2.6968810000000003
360050218005002,0.0,1,0.0,3.3107339999999996
360050220001005,0.0,2,0.0,0.6133569999999999
360050221011001,0.0,1,0.0,4.782312
360050221012000,13.768826392472803,1,13.768826392472803,5.519532
360050221013000,0.0,1,0.0,7.267030999999999
360050221021000,0.0,1,0.0,6.444296
360050221021001,30.335734879818922,4,7.5839337199547305,7.543057000000001
360050222001000,0.0,1,0.0,2.373678
360050222003004,0.0,2,0.0,3.874404
360050222004000,0.0,3,0.0,3.1906630000000002
360050223001001,0.0,2,0.0,5.527621
360050223003001,0.0,1,0.0,8.419148
360050224011002,0.0,1,0.0,8.740606
360050224042001,0.0,1,0.0,6.381924
360050225003000,0.0,1,0.0,4.049629
360050225004001,111.1604804718468,4,27.7901201179617,5.509682
360050227011000,66.758180711628,1,66.758180711628,8.310073
360050227011001,0.0,2,0.0,5.600937
360050227012002,0.0,1,0.0,11.040410000000001
360050227013000,7.939410321076338,2,3.969705160538169,19.67876
360050227013005,0.0,2,0.0,0.0
360050227021005,0.0,1,0.0,6.277222
360050229012000,5.7307054640832815,1,5.7307054640832815,6.194339
360050229022004,22.775305801907,1,22.775305801907,3.7765760000000004
360050231001001,0.0,2,0.0,3.5566690000000003
